,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8
0,3.748,3.386,3.079,2.814,2.58,2.371,2.181,,,,,
0.2,3.743,3.382,3.076,2.811,2.578,2.369,2.179,,,,,
0.4,3.73,3.37,3.065,2.801,2.568,2.359,2.171,,,,,
0.6,3.709,3.347,3.043,2.78,2.547,2.34,2.153,,,,,
0.8,3.679,3.318,3.013,2.75,2.519,2.315,2.128,,,,,
1,3.638,3.279,2.974,2.714,2.485,2.279,2.095,,,,,
1.5,3.512,3.156,2.854,2.6,2.376,2.173,1.992,,,,,
2,3.355,3.004,2.709,2.458,2.241,2.048,1.873,,,,,
2.5,3.18,2.836,2.548,2.303,2.091,1.907,1.741,,,,,
3,3.008,2.667,2.38,2.138,1.933,1.756,1.6,1.45,,,,
3.5,2.838,2.5,2.218,1.978,1.782,1.61,1.459,1.34,,,,
4,2.678,2.343,2.069,1.834,1.643,1.475,1.326,1.22,1.1,,,
4.5,2.528,2.199,1.926,1.698,1.511,1.348,1.204,1.1,1,,,
5,2.396,2.068,1.798,1.579,1.392,1.233,1.095,0.97,0.88,0.81,,
6,2.166,1.844,1.585,1.37,1.192,1.04,0.913,0.79,0.7,0.63,0.56,
7,1.983,1.665,1.411,1.204,1.033,0.891,0.77,0.665,0.57,0.5,0.44,0.39
8,1.83,1.519,1.272,1.071,0.906,0.77,0.656,0.564,0.482,0.41,0.36,0.31
9,1.703,1.397,1.156,0.962,0.804,0.674,0.569,0.482,0.411,0.348,0.29,0.25
10,1.593,1.295,1.06,0.872,0.719,0.596,0.495,0.418,0.352,0.295,0.245,0.21
12,1.417,1.125,0.904,0.728,0.588,0.476,0.388,0.315,0.258,0.212,0.173,0.143
14,1.275,0.994,0.783,0.62,0.492,0.388,0.309,0.247,0.196,0.158,0.126,0.102
16,1.157,0.89,0.688,0.533,0.414,0.322,0.251,0.196,0.155,0.12,0.094,0.075
18,1.058,0.801,0.609,0.464,0.353,0.27,0.205,0.158,0.121,0.093,0.072,0.056
20,0.975,0.727,0.542,0.405,0.303,0.228,0.17,0.129,0.097,0.073,0.056,0.042
