,0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8
0,0.9934,0.993,0.993,0.993,0.993,0.993,0.993,0.993,0.993,0.993,0.993,0.993,,,,,
0.2,1.1822,1.142,1.106,1.074,1.05,1.032,1.022,1.015,1.008,1.004,1,0.997,,,,,
0.4,1.3513,1.3,1.249,1.2,1.151,1.106,1.073,1.051,1.036,1.025,1.015,1.009,,,,,
0.6,1.5011,1.437,1.374,1.311,1.251,1.19,1.138,1.099,1.072,1.049,1.03,1.019,,,,,
0.8,1.6324,1.556,1.482,1.411,1.34,1.272,1.211,1.157,1.114,1.077,1.048,1.028,,,,,
1,1.746,1.66,1.576,1.495,1.418,1.344,1.275,1.211,1.155,1.106,1.065,1.037,,,,,
1.5,1.9607,1.856,1.753,1.654,1.561,1.472,1.385,1.306,1.23,1.164,1.103,1.054,,,,,
2,2.0934,1.971,1.854,1.742,1.636,1.536,1.44,1.35,1.265,1.19,1.12,1.056,,,,,
2.5,2.1657,2.031,1.9,1.779,1.662,1.55,1.448,1.351,1.26,1.179,1.104,1.032,,,,,
3,2.1971,2.049,1.909,1.777,1.651,1.535,1.426,1.321,1.224,1.14,1.06,0.988,0.92,,,,
3.5,2.203,2.043,1.893,1.753,1.621,1.497,1.382,1.275,1.176,1.088,1.006,0.931,0.88,,,,
4,2.1944,2.024,1.864,1.715,1.577,1.448,1.329,1.221,1.121,1.03,0.947,0.87,0.82,0.77,,,
4.5,2.1788,1.998,1.829,1.673,1.529,1.394,1.273,1.162,1.061,0.968,0.884,0.807,0.75,0.71,,,
5,2.1607,1.971,1.794,1.631,1.481,1.344,1.218,1.104,1.002,0.909,0.824,0.748,0.67,0.63,0.59,,
6,2.1261,1.918,1.727,1.552,1.392,1.247,1.115,0.999,0.893,0.799,0.714,0.641,0.56,0.51,0.47,0.42,
7,2.0984,1.875,1.67,1.484,1.315,1.164,1.029,0.908,0.802,0.708,0.624,0.553,0.482,0.42,0.38,0.34,0.31
8,2.0781,1.84,1.623,1.427,1.251,1.095,0.955,0.833,0.725,0.631,0.549,0.479,0.418,0.363,0.31,0.28,0.25
9,2.0634,1.811,1.583,1.379,1.196,1.035,0.892,0.768,0.661,0.569,0.488,0.42,0.363,0.315,0.269,0.23,0.2
10,2.0526,1.787,1.548,1.335,1.147,0.982,0.838,0.715,0.608,0.515,0.437,0.371,0.319,0.273,0.231,0.194,0.17
12,2.0382,1.749,1.492,1.264,1.067,0.896,0.745,0.624,0.519,0.431,0.356,0.296,0.244,0.203,0.169,0.14,0.116
14,2.0292,1.717,1.441,1.202,0.997,0.823,0.672,0.551,0.45,0.367,0.295,0.24,0.195,0.158,0.128,0.104,0.084
16,2.0229,1.69,1.401,1.15,0.937,0.76,0.613,0.493,0.394,0.314,0.249,0.198,0.157,0.127,0.099,0.078,0.063
18,2.0182,1.666,1.363,1.102,0.886,0.707,0.561,0.443,0.347,0.271,0.211,0.164,0.128,0.099,0.077,0.06,0.047
20,2.0147,1.646,1.329,1.061,0.841,0.66,0.515,0.399,0.307,0.236,0.181,0.138,0.105,0.08,0.061,0.047,0.036
